Plate	Row	Column	Cell	ID	FAM1	VIC1	ratio.1	Plate.1	Row.1	Column.1	FAM2	VIC2	ratio.2	Ratio	stdev	plt.norm	mean.ratio
3	C	4	IFNG	173	19.16726034	24.1351718	31.29611041	3	C	10	19.16628862	23.3607592	18.30886655	24.80248848	9.183368198	0.763180139	23.93734135
3	C	5	IFNG	185	20.12885979	24.86942914	26.73336148	3	C	11	20.12315048	24.92348974	27.86416982	27.29876557	0.799602363	0.839991347	27.29290973
3	C	6	IFNG	193	20.4263707	24.97896637	23.46755556	3	C	12	20.51133897	24.39818638	14.79304774	19.13030167	6.13380333	0.58864522	18.63214078
3	D	1	IFNG	146	19.54752819	24.26014297	26.22034531	3	D	7	19.51354245	25.04051129	46.1087562	36.16455075	14.0632302	1.112794263	34.77049764
3	D	2	IFNG	155	19.28695701	24.13958466	28.89259038	3	D	8	19.35053501	24.21348688	29.10009303	28.99634174	0.146726481	0.892226284	28.99615619
3	D	3	IFNG	163	19.28348532	24.49992889	37.17970891	3	D	9	19.19858271	24.43181882	37.61499812	37.39735347	0.307796017	1.150727979	37.39672015
3	D	4	IFNG	175	20.07040135	24.81774863	26.85925307	3	D	10	20.04398545	24.9110735	29.1836423	28.02144775	1.643591301	0.862228499	27.99733623
3	D	5	IFNG	186	20.05420714	25.0969278	32.96174372	3	D	11	19.95916378	25.11201776	35.57653196	34.26913785	1.848934488	1.05447183	34.24418975
3	D	6	IFNG	194	20.3035163	25.02924754	26.45981813	3	D	12	20.35803375	25.08273149	26.44086987	26.450344	0.013398453	0.813885157	26.45034234
3	E	1	IFNG	147	19.25944181	24.27023319	32.24025791	3	E	7	19.14033449	24.68758096	46.76140794	39.50083287	10.26800373	1.215452682	38.82782326
3	E	2	IFNG	156	19.4966056	24.62236947	34.91472901	3	E	8	19.48970392	24.73854245	38.02400327	36.46936605	2.198589047	1.122173523	36.43621514
3	E	3	IFNG	164	19.97187145	24.88996335	30.23383115	3	E	9	19.96307027	24.98128845	32.40665443	31.32024275	1.536418143	0.963733427	31.30139479
3	E	4	IFNG	176	20.13585122	25.20087128	33.47518353	3	E	10	20.12035757	25.45641653	40.39371589	36.93444975	4.892141094	1.13648429	36.77209608
3	E	5	IFNG	187	19.74237133	24.69496413	30.96556361	3	E	11	19.79292961	25.14726526	40.90869636	35.93712998	7.030856597	1.105796457	35.59158372
3	E	6	IFNG	195	19.89060772	24.69593627	27.96069953	3	E	12	20.15105137	25.09731065	30.82992078	29.39531015	2.028845815	0.904502664	29.3602819
3	F	1	IFNG	148	19.12485288	24.22848891	34.38329805	3	F	7	19.12653977	24.57016651	43.52060599	38.95195202	6.461052408	1.198563451	38.68309666
3	F	2	IFNG	157	20.44276489	25.4792538	32.81967187	3	F	8	20.42258628	25.38073916	31.08513374	31.9524028	1.226503674	0.983185185	31.94063069
3	F	3	IFNG	166	20.11003815	25.27599785	35.90118851	3	F	9	20.05560603	25.06701186	32.25399195	34.0775902	2.57895737	1.04857785	34.02876211
3	F	4	IFNG	177	19.70315624	24.64536306	30.74344261	3	F	10	19.77894564	24.84650614	33.53418186	32.13881221	1.973350688	0.98892106	32.10850659
3	F	5	IFNG	188	19.7847779	24.59074942	27.97316363	3	F	11	19.82102765	24.80182508	31.5768956	29.77502958	2.548223363	0.916186747	29.72045865
3	F	6	IFNG	196	19.42665397	24.39793044	31.36919213	3	F	12	19.8467794	24.92959968	33.89076452	32.62997829	1.783020985	1.00403439	32.60561157
3	G	1	IFNG	150	19.9650597	25.07214029	34.46548925	3	G	7	19.86616863	25.6412622	54.76163348	44.61356135	14.35154124	1.372772898	43.44406153
3	G	6	IFNG	197	20.09541618	25.39077161	39.26999284	3	G	12	20.34413943	25.04245109	25.96167679	32.61583487	9.410400599	1.003599192	31.9298428
3	H	1	IFNG	151	19.57795965	24.56531305	31.72071532	3	H	7	19.74378944	24.67396441	30.48811338	31.10441434	0.871581178	0.957092322	31.09830804
3	H	3	IFNG	170	20.55471179	25.12398989	23.74049482	3	H	9	20.95433954	25.80648017	28.88283842	26.31166659	3.636186074	0.809618011	26.18573809
3	H	4	IFNG	179	19.81721311	24.40311298	24.0155987	3	H	10	19.86161842	24.47974359	24.558068	24.28683334	0.383583726	0.747313274	24.2853188
3	H	5	IFNG	190	20.02661986	25.18957431	35.82648127	3	H	11	19.78298557	25.14745203	41.19697384	38.51172759	3.797511665	1.185017611	38.41799852
4	A	2	IFNG	207	20.28290849	25.25	31.27832844	4	A	8	20.32743954	25.40001955	33.65105919	32.46469387	1.677773932	1.041317881	32.44300975
4	A	3	IFNG	216	20.33264703	24.43916682	17.22604727	4	A	9	20.40288042	24.96343863	23.59743606	20.41174165	4.505252239	0.654714677	20.16161078
4	A	4	IFNG	425	19.76531537	24.47851936	26.23105612	4	A	10	19.86883463	24.70406802	28.54633014	27.38869312	1.637145978	0.878503152	27.36421737
4	A	5	IFNG	1	19.60297996	24.83809901	37.66412348	4	A	11	19.78240193	24.83776727	33.25191082	35.45801711	3.119905423	1.137329907	35.38932145
4	A	6	IFNG	10	20.35259132	25.32985289	31.49959927	4	A	12	20.57037582	25.49936962	30.46316218	30.98138069	0.732871635	0.993740025	30.97704635
4	B	2	IFNG	208	20.27701532	25.07052479	27.73257109	4	B	8	20.25502135	24.94985645	25.89919058	26.81588079	1.296395723	0.86012997	26.80020786
4	B	3	IFNG	218	19.87374174	24.70086131	28.38623431	4	B	9	19.78255507	24.66491199	29.49414986	28.94019207	0.783414624	0.928268094	28.93488981
4	B	4	IFNG	426	19.20008619	24.15518676	31.01943643	4	B	10	19.21130475	24.31548147	34.39618644	32.70781148	2.387722773	1.049115974	32.66420552
4	B	5	IFNG	2	19.86710856	25.09311826	37.42705689	4	B	11	20.1034496	25.3960257	39.19441274	38.31073486	1.24970924	1.228831956	38.30054192
4	B	6	IFNG	11	20.24658812	25.11641176	29.23903191	4	B	12	20.30300549	25.26646855	31.19976081	30.21939636	1.386444693	0.969299077	30.20348986
4	C	1	IFNG	201	19.88859017	24.40735085	22.92358344	4	C	7	20.02803501	25.00155956	31.41811124	27.17084737	6.006538169	0.871515663	26.83683468
4	C	2	IFNG	209	19.26463306	24.18620231	30.30679211	4	C	8	19.30271647	24.260427	31.07560415	30.69119817	0.543632146	0.984432306	30.68879066
4	C	3	IFNG	219	20.13356354	24.86600121	26.58310406	4	C	9	20.11014463	24.74466061	24.83866928	25.71088667	1.233501657	0.824686847	25.69608785
4	C	5	IFNG	3	20.35086174	25.01453443	25.345763	4	C	11	20.39090982	24.85546562	22.07827874	23.7120209	2.310460328	0.760572438	23.65567209
4	C	6	IFNG	12	20.13176537	25.0668792	30.59266386	4	C	12	20.21229184	25.14997415	30.6471774	30.61992056	0.038546983	0.982146049	30.61990857
4	D	1	IFNG	202	19.87154677	24.94283586	33.62096177	4	D	7	20.02542499	25.07706621	33.16618628	33.39357399	0.321574784	1.071112078	33.39279979
4	D	2	IFNG	210	20.67960292	25.58268742	29.92095878	4	D	8	20.75255902	25.683606	30.50654689	30.21375282	0.414073351	0.969118058	30.21233408
4	D	3	IFNG	220	20.15161885	25.2190545	33.53127996	4	D	9	20.06720718	25.11626729	33.10690215	33.31909111	0.300080493	1.06872301	33.31841532
4	D	4	IFNG	428	18.4347159	23.46317401	32.63748784	4	D	10	18.52977562	23.61454671	33.93662256	33.28705514	0.918627055	1.067695444	33.28071677
4	D	5	IFNG	4	19.55616662	24.68578806	35.00821116	4	D	11	19.74150558	25.03356875	39.18047997	37.09434553	2.950239611	1.189815787	37.03563851
4	D	6	IFNG	13	19.02943424	23.9575706	30.4450623	4	D	12	19.13261627	24.22912491	34.21385211	32.32945725	2.664936766	1.036980113	32.27449239
4	E	1	IFNG	203	19.96807741	24.69129215	26.41370437	4	E	7	20.00861739	24.96289775	31.00180623	28.70775531	3.244277924	0.920812593	28.61594906
4	E	2	IFNG	211	19.47178375	24.54946899	33.77035031	4	E	8	19.63107887	24.39865055	27.23843068	30.50439051	4.61876469	0.978440377	30.32905118
4	E	3	IFNG	221	20.46390952	25.06116119	24.20531007	4	E	9	20.44533329	25.31020548	29.13885314	26.67208159	3.488541777	0.855517554	26.55776675
4	E	5	IFNG	5	20.09102619	24.97999894	29.62971306	4	E	11	20.12017346	25.06627749	30.82660337	30.22815825	0.846329212	0.969580118	30.22223375
4	E	6	IFNG	15	19.36747332	24.38050893	32.2904493	4	E	12	19.45837591	24.75964754	39.4313618	35.8609056	5.049387589	1.150252714	35.68271834
4	F	1	IFNG	204	20.07698674	24.4783498	21.13208276	4	F	7	20.08021093	24.74155713	25.3049234	23.21850312	2.950643845	0.74474266	23.12456994
4	F	2	IFNG	212	20.57112968	24.8813963	19.83898924	4	F	8	20.74434698	24.55343695	14.01684723	16.92791819	4.116876045	0.542969664	16.67573326
4	F	3	IFNG	418	19.52159823	24.53263361	32.2457111	4	F	9	19.48139998	24.56261388	33.85304986	33.04938053	1.136560059	1.060071937	33.03960743
4	F	4	IFNG	430	19.22504087	24.24684512	32.48730694	4	F	10	19.26091934	24.38060745	34.76799841	33.62765275	1.612692288	1.078620247	33.60831202
4	F	5	IFNG	7	19.44934068	24.62053287	36.03163443	4	F	11	19.50633699	24.04025856	23.16575147	29.598693	9.097553153	0.949389771	28.89117311
4	F	6	IFNG	17	20.12145622	25.76684564	50.05316596	4	F	12	20.17218213	25.92419525	53.89251888	51.97284241	2.71483249	1.667049453	51.93737772
4	G	1	IFNG	205	20.15520473	24.79981218	25.01302174	4	G	7	20.12282039	25.04689635	30.35949644	27.68625913	3.780528466	0.888047699	27.55690016
4	G	2	IFNG	213	19.4843724	24.23955161	27.00545986	4	G	8	20.00313862	24.80105583	27.81742953	27.41144469	0.57414926	0.879232917	27.40843807
